lista_surowiec_grupa,lista_towar_grupa,lista_usluga_grupa,lista_dlugoterminowe_grupa,lista_dziaÅ‚y,lista_typy,lista_nazwa_wew,lista_typ,lista_grupa,lista_jm_wew,lista_dziaÅ‚,,,,,,,lista_jm
,,,,,,oscypek,surowiec,nabiaÅ‚,kg,kuchnia,,,,,,,
,,,,,,oscypek goÅ‚ka,surowiec,nabiaÅ‚,kg,kuchnia,,,,,,,
,,,,,,owoce sezonowe,surowiec,owoc,kg,kuchnia,,,,,,,
,,,,,,papryka czerwona,surowiec,warzywo,kg,kuchnia,,,,,,,
,,,,,,papryka sÅ‚odka,surowiec,przyprawa,kg,kuchnia,,,,,,,
,,,,,,parmezan,surowiec,nabiaÅ‚,kg,kuchnia,,,,,,,
,,,,,,parÃ³wki hotelowe,surowiec,miÄ™so,kg,kuchnia,,,,,,,
,,,,,,pasztet pieczony,surowiec,miÄ™so,kg,kuchnia,,,,,,,
,,,,,,patison konserwowy brutto,surowiec,suchy,kg,kuchnia,,,,,,,
,,,,,,pestki dyni,surowiec,suchy,kg,kuchnia,,,,,,,
,,,,,,pesto,surowiec,suchy,kg,kuchnia,,,,,,,
,,,,,,pieczarka plastry mroÅ¼ona,surowiec,mroÅ¼onka,kg,kuchnia,,,,,,,
,,,,,,pieczarka Å›wieÅ¼a,surowiec,warzywo,kg,kuchnia,,,,,,,
,,,,,,pieprz czarny mielony,surowiec,przyprawa,kg,kuchnia,,,,,,,
,,,,,,pieprz czarny mÅ‚otkowany,surowiec,przyprawa,kg,kuchnia,,,,,,,
,,,,,,pieprz zielony zalewa,surowiec,suchy,kg,kuchnia,,,,,,,
,,,,,,pietruszka korzeÅ„,surowiec,warzywo,kg,kuchnia,,,,,,,
,,,,,,pietruszka naÄ‡,surowiec,warzywo,kg,kuchnia,,,,,,,
,,,,,,placki ziemniaczane mroÅ¼one,surowiec,mroÅ¼onka,kg,kuchnia,,,,,,,
,,,,,,pÅ‚atki cynamonowe,surowiec,suchy,kg,kuchnia,,,,,,,
,,,,,,pÅ‚atki czekoladowe,surowiec,suchy,kg,kuchnia,,,,,,,
,,,,,,pÅ‚atki kukurydziane,surowiec,suchy,kg,kuchnia,,,,,,,
,,,,,,podgrzybek kostka mroÅ¼ony,surowiec,mroÅ¼onka,kg,kuchnia,,,,,,,
,,,,,,podgrzybek mroÅ¼ony,surowiec,mroÅ¼onka,kg,kuchnia,,,,,,,
,,,,,,podgrzybek suszony,surowiec,suchy,kg,kuchnia,,,,,,,
,,,,,,polewa czekoladowa,surowiec,suchy,kg,kuchnia,,,,,,,
,,,,,,polÄ™dwica sopocka,surowiec,miÄ™so,kg,kuchnia,,,,,,,
,,,,,,policzki woÅ‚owe,surowiec,miÄ™so,kg,kuchnia,,,,,,,
,,,,,,pomidor koktailowy,surowiec,warzywo,kg,kuchnia,,,,,,,
,,,,,,pomidor krojony puszka,surowiec,suchy,kg,kuchnia,,,,,,,
,,,,,,pomidor Å›wieÅ¼y,surowiec,warzywo,kg,kuchnia,,,,,,,
,,,,,,por,surowiec,suchy,kg,kuchnia,,,,,,,
,,,,,,powidÅ‚o Å›liwkowe,surowiec,suchy,kg,kuchnia,,,,,,,
,,,,,,proszek do pieczenia,surowiec,suchy,kg,kuchnia,,,,,,,
,,,,,,pstrÄ…g kÅ‚odzki,surowiec,miÄ™so,kg,kuchnia,,,,,,,
,,,,,,pulpa pomidorowa,surowiec,suchy,kg,kuchnia,,,,,,,
,,,,,,puree ziemniaczane gotowe,surowiec,warzywo,kg,kuchnia,,,,,,,
,,,,,,puree ziemniaczane knorr,surowiec,suchy,kg,kuchnia,,,,,,,
,,,,,,ratatuile mroÅ¼one,surowiec,mroÅ¼onka,kg,kuchnia,,,,,,,
,,,,,,roszponka,surowiec,warzywo,kg,kuchnia,,,,,,,
,,,,,,rozmaryn Å›wieÅ¼y,surowiec,zioÅ‚o,kg,kuchnia,,,,,,,
,,,,,,rucola,surowiec,warzywo,kg,kuchnia,,,,,,,
,,,,,,ryÅ¼ surowy,surowiec,suchy,kg,kuchnia,,,,,,,
,,,,,,rzodkiew,surowiec,warzywo,kg,kuchnia,,,,,,,
,,,,,,rzodkiewka,surowiec,suchy,kg,kuchnia,,,,,,,
,,,,,,saÅ‚ata lodowa,surowiec,warzywo,kg,kuchnia,,,,,,,
,,,,,,saÅ‚ata strzÄ™p czerwony,surowiec,warzywo,kg,kuchnia,,,,,,,
,,,,,,saÅ‚ata strzÄ™p zielony,surowiec,warzywo,kg,kuchnia,,,,,,,
,,,,,,seler korzeÅ„,surowiec,warzywo,kg,kuchnia,,,,,,,
,,,,,,skrobia ziemniaczana,surowiec,suchy,kg,kuchnia,,,,,,,
,,,,,,smalec,surowiec,tÅ‚uszcz,kg,kuchnia,,,,,,,
,,,,,,soda,surowiec,suchy,kg,kuchnia,,,,,,,
,,,,,,sok jabÅ‚kowy 2l,surowiec,suchy,l,kuchnia,,,,,,,
,,,,,,sok pomaraÅ„czowy 2l,surowiec,suchy,l,kuchnia,,,,,,,
,,,,,,sos bbq,surowiec,suchy,kg,kuchnia,,,,,,,
,,,,,,sos pieczeniowy proszek,surowiec,suchy,kg,kuchnia,,,,,,,
,,,,,,sos sweet chili,surowiec,suchy,kg,kuchnia,,,,,,,
,,,,,,sÃ³l,surowiec,przyprawa,kg,kuchnia,,,,,,,
,,,,,,sÃ³l morska,surowiec,przyprawa,kg,kuchnia,,,,,,,
,,,,,,spaghetti,surowiec,mroÅ¼onka,kg,kuchnia,,,,,,,
,,,,,,spaghetti mroÅ¼one,surowiec,mroÅ¼onka,kg,kuchnia,,,,,,,
,,,,,,spaghetti suche,surowiec,suchy,kg,kuchnia,,,,,,,
,,,,,,stripsy z kurczaka mroÅ¼one,surowiec,miÄ™so,kg,kuchnia,,,,,,,
,,,,,,syrop balsamiczny,surowiec,suchy,kg,kuchnia,,,,,,,
,,,,,,szafran,surowiec,przyprawa,kg,kuchnia,,,,,,,
,,,,,,szczypior Å›wieÅ¼y,surowiec,zioÅ‚o,kg,kuchnia,,,,,,,
,,,,,,szpinak baby,surowiec,warzywo,kg,kuchnia,,,,,,,
,,,,,,szpinak liÅ›cie mroÅ¼ony,surowiec,mroÅ¼onka,kg,kuchnia,,,,,,,
,,,,,,szpinak siekany mroÅ¼ony,surowiec,mroÅ¼onka,kg,kuchnia,,,,,,,
,,,,,,szyja z indyka,surowiec,miÄ™so,kg,kuchnia,,,,,,,
